filename,class_name,wave_min,wave_max,wave_mean,wave_var,amp_min,amp_max,amp_mean,amp_var,spectral_centroid_min,spectral_centroid_max,spectral_centroid_mean,spectral_centroid_var,spectral_rolloff_min,spectral_rolloff_max,spectral_rolloff_mean,spectral_rolloff_var,spectral_bandwidth_min,spectral_bandwidth_max,spectral_bandwidth_mean,spectral_bandwidth_var,mel_frequency_min,mel_frequency_max,mel_frequency_mean,mel_frequency_var,chroma_min,chroma_max,chroma_mean,chroma_var,zero_crossing_rate
Carpodacus-erythrinus-53809.wav,carpodacus-erythrinus,-1.2344673e-05,0.19613647,-0.19467163,0.015175132,2.6233620745368472e-05,0.0013032870591582824,3.4787151050195754e-09,5.141462258426709e-05,6083.858754487304,9787.328160664194,3018.6262163232477,1068.698925755662,11383.541762939001,14125.78125,21.533203125,2298.500086386781,6028.765908732518,7824.328945646511,2401.797055900988,986.5701786959406,-11.446687,152.14642,-755.60297,76.66831,0.5046063,1.0,0.00092119374,0.28834668,21
Turdus-merula-33168.wav,turdus-merula,6.985642e-05,0.28027344,-0.2774353,0.032614805,1.3830347512305109e-05,0.0012353294289744955,1.0860024338718427e-11,4.228585659535681e-05,2207.821845327035,9166.526496707047,583.4920946835342,731.7518942072755,3615.783264058407,7902.685546875,21.533203125,1230.6616114601416,3316.015143301339,5435.845373749327,803.2441106874124,943.1817669509862,-9.006459,142.72571,-638.1375,105.228485,0.5721736,1.0,7.198439e-05,0.33183354,2
Phylloscopus-trochilus-566167.wav,phylloscopus-trochilus,-7.246813e-06,0.5151367,-0.5128937,0.014431748,1.5709770150090288e-06,0.00017862582357145815,1.5805039189614858e-12,3.939266091822962e-06,3465.4816346145,7411.418418925472,588.3936477960003,697.9097954616772,4414.482101603864,13054.6875,187.5,859.9625836629847,4500.614270297826,7771.574254166509,1064.1745122848165,1374.022327412484,-13.93383,172.1785,-587.6784,118.52282,0.4723807,1.0,3.4548536e-06,0.34250122,0
Chloris-chloris-463812.wav,chloris-chloris,-3.1507156e-05,0.5834503,-0.6883087,0.048080657,9.644675944840923e-06,0.0015420337953957123,3.220139335962009e-11,5.488322001249632e-05,1027.150990121962,6817.9942319409,0.0,767.8242853510536,1328.3304860752964,6398.4375,23.4375,1098.5573878249704,2815.660177765391,6991.4326919430205,11.048543641125972,1292.0903270033114,-7.337925,306.0078,-639.26776,108.57723,0.6495384,1.0,0.0,0.23853199,0
Troglodytes-troglodytes-507470.wav,troglodytes-troglodytes,0.003732816,0.9999695,-0.6398468,0.2004677,7.41604795442875e-05,0.04718205320535734,2.241072872921785e-08,0.0009850679942743322,846.8744776968531,4223.9707121229785,108.2510152665983,663.2034667942187,1587.1263586956522,8039.0625,23.4375,2249.3619907922175,3180.421797375381,9693.113434716919,905.6522178269144,1158.5049714435434,1.2453417,142.01367,-464.18097,100.964066,0.7804693,1.0,0.017015567,0.1885468,0
Fringilla-coelebs-586923.wav,fringilla-coelebs,-5.145871e-06,0.19708252,-0.19294739,0.00890863,4.800627416887087e-06,0.0004661951743968837,3.167657051340192e-12,1.1595579899179576e-05,3845.097882253281,6785.905442542974,1956.1739133114884,579.3511830136952,2736.53201993904,10757.8125,351.5625,1658.4512113965923,5393.708598816796,7656.33458298538,1696.004196176789,1420.1630140837979,-17.515575,158.82515,-634.8215,134.30547,0.6558057,1.0,3.3377582e-05,0.26021013,2
Sylvia-curruca-492444.wav,sylvia-curruca,-1.1937295e-05,0.07989502,-0.07929993,0.006502312,3.2607442406131984e-06,0.0023823865048407116,2.775733853793279e-11,9.884757120540435e-06,2746.898840030034,5311.930152296069,1449.440592028629,656.9633936513305,3960.8298827484423,8625.0,468.75,1313.0431855878726,5079.014089034013,7286.657257724355,2014.9342019410574,1274.8498874923648,-12.267501,171.4401,-612.18054,114.781265,0.64265275,1.0,0.0019174415,0.23840642,12
Phylloscopus-trochilus and acredula-130276.wav,acredula,2.3737762e-06,0.36080933,-0.3511963,0.024150535,9.378883047008517e-06,0.0005122351701754423,4.2681056893117684e-11,2.3326198923416073e-05,4037.0879728910445,10581.658953907438,2774.114041996164,383.271571098764,6689.183527381675,12015.52734375,21.533203125,1576.7300359768947,5727.769110767396,8739.592129034621,295.37471342259516,1415.6646449665486,-13.7611065,136.47899,-657.14966,91.01923,0.46255034,1.0,5.6222936e-05,0.29732877,10
Cuculus-canorus-289720.wav,cuculus-canorus,-0.00093281263,0.92562866,-0.95022583,0.11861013,3.40537744851501e-05,0.015401380978106005,5.343831759935893e-11,0.00018524876140451436,4876.329543067369,9441.45785497006,0.0,1178.6818514257589,9557.826113262343,12281.25,23.4375,2263.130812876017,5046.30405202952,6341.411454720337,11.048543641125972,807.1702407992158,-4.6714277,138.8948,-485.8165,59.210808,0.42201486,1.0,0.0,0.29478633,29
Fringilla-coelebs-412872.wav,fringilla-coelebs,2.369718e-09,0.0663147,-0.08496094,0.0035353266,3.0134012097678047e-06,9.21285414776769e-05,4.86346063564074e-11,5.637687625785747e-06,3230.6583425929334,6668.944783024863,0.0,344.0818797785239,4880.638729079498,9492.1875,23.4375,687.8065694608154,3768.850812174634,5919.579596589223,11.048543641125972,824.886702275088,-18.30014,190.47134,-941.3213,107.202446,0.60542125,1.0,0.0,0.24119365,7
